Line 13: Cannot load control Relatorio; license not found.
Line 28: Cannot load control ReportSection2; license not found.
Line 37: Cannot load control frTitParc; license not found.
Line 59: Cannot load control frValorParc; license not found.
Line 80: Cannot load control frVencParc; license not found.
Line 101: Cannot load control frNumParc; license not found.
Line 122: Cannot load control txtCodProd; license not found.
Line 329: Cannot load control txtVendedor; license not found.
Line 351: Cannot load control txtNumero; license not found.
Line 374: Cannot load control txtData; license not found.
Line 396: Cannot load control txtVenda; license not found.
Line 419: Cannot load control lblSubTotal; license not found.
Line 439: Cannot load control txtSubtotal; license not found.
Line 462: Cannot load control lblDesconto; license not found.
Line 482: Cannot load control txtDesconto; license not found.
Line 504: Cannot load control ReportField2; license not found.
Line 526: Cannot load control txtTot; license not found.
Line 549: Cannot load control txtUnit; license not found.
Line 572: Cannot load control txtQuant; license not found.
Line 595: Cannot load control txtDesc; license not found.
Line 1436: Cannot load control ReportField68; license not found.
Line 1458: Cannot load control ReportField39; license not found.
Line 1480: Cannot load control ReportField40; license not found.
Line 1502: Cannot load control ReportField47; license not found.
Line 1547: Cannot load control rf2; license not found.
Line 1568: Cannot load control rf1; license not found.
Line 1590: Cannot load control rf3; license not found.
Line 1611: Cannot load control rf4; license not found.
Line 1632: Cannot load control ReportField16; license not found.
Line 1652: Cannot load control txtCPF; license not found.
Line 1672: Cannot load control ReportField41; license not found.
Line 1692: Cannot load control txtCliente; license not found.
Line 1712: Cannot load control ReportField3; license not found.
Line 1732: Cannot load control txtEnd; license not found.
Line 1752: Cannot load control ReportField5; license not found.
Line 1772: Cannot load control txtRef; license not found.
Line 1792: Cannot load control ReportField7; license not found.
Line 1812: Cannot load control txtRG; license not found.
Line 1832: Cannot load control ReportField9; license not found.
Line 1852: Cannot load control txtCidade; license not found.
Line 2124: Cannot load control ReportField6; license not found.
Line 2146: Cannot load control ReportField13; license not found.
Line 2166: Cannot load control txtTotal; license not found.
